host_id,host_name,city,state,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value
5905011,Annette,New York,NY,10030,United States,40.81904473,-73.94325286,House,Private room,2,1,1,1,Real Bed,,$89.00 ,270,27,97,10,9,10
24355708,Nicole,New York,NY,10012,United States,40.72633595,-73.99377219,Apartment,Entire home/apt,4,1,2,2,Real Bed,,$250.00 ,360,0,,,,
24004927,Eli,Queens,NY,11102,United States,40.77245498,-73.91922627,Apartment,Private room,3,1,1,1,Real Bed,,$80.00 ,89,0,,,,
22758010,Kim,Brooklyn,NY,11206,United States,40.69928064,-73.92903403,Apartment,Private room,1,1,1,1,Real Bed,,$65.00 ,2,0,,,,
25100279,Gal,New York,NY,10009,United States,40.72371544,-73.98378124,Apartment,Entire home/apt,2,1,1,1,Real Bed,,$100.00 ,349,0,,,,
4111729,Mich,New York,NY,10128,United States,40.77968507,-73.9533856,Apartment,Entire home/apt,4,1,2,2,Real Bed,,$250.00 ,360,4,95,10,10,10
2347382,Lena & Ray,Long Island City,NY,11101,United States,40.75619433,-73.93004987,House,Private room,2,1,1,1,Real Bed,,$66.00 ,361,33,92,9,9,9
2269804,Katherine,Brooklyn,NY,11206,United States,40.69291683,-73.94824935,Apartment,Entire home/apt,6,1,2,3,Real Bed,,$160.00 ,363,0,,,,
3464208,Vjeko,New York,NY,10031,United States,40.82322106,-73.95576409,Apartment,Private room,2,1,1,1,Real Bed,,$70.00 ,328,19,88,9,9,9
9113389,Stephon,Brooklyn,NY,11221,United States,40.69227781,-73.93093563,Apartment,Private room,2,1,1,1,Real Bed,,$35.00 ,357,10,80,8,9,9
21328128,Patrick,Brooklyn,NY,11206,United States,40.69960612,-73.94069028,Apartment,Private room,2,2,1,1,Real Bed,,$69.00 ,365,0,,,,
1606560,Zak,New York,NY,10014,United States,40.73636309,-74.00194059,Apartment,Private room,2,1,1,1,Real Bed,,$125.00 ,365,3,93,8,10,9
23185254,Azumi,New York,NY,10031,United States,40.82660106,-73.94592741,Apartment,Private room,1,0.5,1,1,Real Bed,,$50.00 ,68,0,,,,
24695604,Gina,Queens,NY,11385,United States,40.7056668,-73.91600832,Apartment,Private room,1,1,1,1,Real Bed,,$80.00 ,1,0,,,,
5467851,Rebecca,New York,NY,10028,United States,40.77322447,-73.95091014,Apartment,Entire home/apt,5,1,1,1,Real Bed,,$199.00 ,87,37,93,9,9,9
11082113,Nat,New York,NY,10009,United States,40.72919293,-73.97794438,Apartment,Entire home/apt,4,1,2,2,Real Bed,,$250.00 ,0,0,,,,
3371804,Philip,Brooklyn,NY,11206,United States,40.7076077,-73.94266309,Apartment,Entire home/apt,6,1,2,2,Real Bed,,$140.00 ,0,2,100,8,8,10
