city,zipcode,property_type,room_type,bed_type,location_group,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,availability_365,price_per_accommodation
105,33,1,2,5,14,40.82660106,-73.94592741,1.0,0.5,1.0,1.0,50.0,68.0,50.0
120,158,1,2,5,12,40.7056668,-73.91600832,1.0,1.0,1.0,1.0,80.0,1.0,80.0
105,29,1,1,5,14,40.77322447,-73.95091014,5.0,1.0,1.0,1.0,199.0,87.0,39.8
105,10,1,1,5,11,40.72919293,-73.97794438,4.0,1.0,2.0,2.0,250.0,0.0,62.5
33,103,1,1,5,11,40.7076077,-73.94266309,6.0,1.0,2.0,2.0,140.0,0.0,23.333333333333332
33,108,14,1,5,11,40.71332286,-73.93629172,4.0,1.0,0.0,2.0,149.0,122.0,37.25
105,14,1,1,5,11,40.7280078,-74.00094807,4.0,1.0,2.0,2.0,400.0,312.0,100.0
105,40,1,2,5,11,40.70776341,-74.00196747,2.0,1.5,1.0,2.0,150.0,365.0,75.0
33,108,1,1,5,11,40.71317202,-73.93690763,5.0,1.5,1.0,2.0,275.0,1.0,55.0
105,26,1,2,5,14,40.79456326,-73.96828413,1.0,1.0,1.0,1.0,150.0,365.0,150.0
33,112,1,1,5,11,40.67660167,-73.98390418,4.0,1.0,1.0,2.0,139.0,272.0,34.75
105,9,1,1,5,11,40.7160687,-74.00782339,3.0,1.0,1.0,1.0,275.0,285.0,91.66666666666667
105,28,1,2,5,14,40.81289807,-73.95213176,2.0,1.0,1.0,1.0,60.0,298.0,30.0
33,108,1,2,5,11,40.70892155,-73.96097463,2.0,1.0,1.0,1.0,60.0,353.0,30.0
33,102,11,1,5,11,40.68915093,-73.96535848,4.0,1.0,1.0,1.0,150.0,365.0,37.5
105,32,1,2,5,14,40.81333633,-73.94587011,2.0,1.0,1.0,1.0,60.0,87.0,30.0
105,24,1,1,5,14,40.77728737,-73.98097763,2.0,1.0,0.0,1.0,250.0,314.0,125.0
105,2,1,1,5,11,40.7199267,-73.98919368,6.0,1.0,2.0,2.0,145.0,358.0,24.166666666666668
33,112,1,2,5,8,40.66878586,-73.98226159,2.0,1.0,1.0,1.0,65.0,361.0,32.5
105,13,1,2,5,11,40.74684398,-74.00205523,2.0,1.0,1.0,1.0,125.0,78.0,62.5
33,114,1,1,5,11,40.68208287,-73.98614377,2.0,1.0,1.0,1.0,130.0,1.0,65.0
105,12,1,1,5,11,40.73972574,-73.98945956,2.0,1.0,1.0,1.0,350.0,365.0,175.0
105,14,1,1,5,11,40.72437725,-73.99647351,2.0,1.0,1.0,1.0,225.0,274.0,112.5
105,13,1,1,5,11,40.73230575,-73.99672089,2.0,1.0,1.0,1.0,219.0,107.0,109.5
105,13,1,1,5,11,40.74389823,-74.00197266,3.0,1.0,2.0,1.0,209.0,229.0,69.66666666666667
105,2,1,1,5,11,40.72218018,-73.98432975,3.0,1.0,2.0,1.0,250.0,364.0,83.33333333333333
105,15,1,1,5,11,40.72193995,-74.00095429,4.0,1.0,1.0,1.0,200.0,363.0,50.0
105,26,1,1,5,14,40.80151571,-73.9586226,3.0,1.0,1.0,2.0,149.0,0.0,49.666666666666664
105,29,1,1,5,14,40.77732814,-73.9519571,2.0,1.0,1.0,1.0,150.0,62.0,75.0
33,133,1,2,5,12,40.70471893,-73.92130977,6.0,1.0,1.0,2.0,250.0,363.0,41.666666666666664
105,28,1,2,5,14,40.81414553,-73.96051433,1.0,1.0,1.0,2.0,50.0,307.0,50.0
33,102,1,2,5,11,40.6921529,-73.9598921,2.0,1.0,1.0,1.0,60.0,343.0,30.0
105,27,1,2,5,14,40.79864744,-73.95405242,1.0,1.0,1.0,1.0,65.0,362.0,65.0
33,108,1,2,5,11,40.7105862,-73.94782826,2.0,1.0,1.0,1.0,95.0,246.0,47.5
105,12,1,2,5,11,40.7479741,-73.99302396,3.0,1.0,1.0,1.0,200.0,259.0,66.66666666666667
105,29,1,1,5,14,40.77487457,-73.95026251,2.0,1.0,0.0,1.0,150.0,338.0,75.0
33,118,1,1,5,11,40.69177597,-73.93229773,4.0,1.0,1.0,2.0,95.0,363.0,23.75
105,25,1,1,5,14,40.7831962,-73.97784602,2.0,1.0,1.0,1.0,195.0,118.0,97.5
33,118,1,1,5,12,40.69271083,-73.92535011,5.0,1.0,2.0,3.0,170.0,364.0,34.0
105,12,1,2,5,11,40.73498979,-73.98032377,1.0,1.0,1.0,1.0,100.0,164.0,100.0
33,108,14,1,5,11,40.70762077,-73.96763822,3.0,1.0,1.0,1.0,450.0,355.0,150.0
105,16,1,1,5,11,40.73303812,-74.00478644,4.0,1.0,2.0,2.0,300.0,224.0,75.0
105,3,1,1,5,11,40.73101615,-73.9931823,3.0,1.0,1.0,1.0,369.0,365.0,123.0
105,17,1,2,5,11,40.74825354,-73.97154998,2.0,1.0,1.0,1.0,118.0,365.0,59.0
105,41,1,2,5,14,40.8249946,-73.94238358,2.0,1.0,1.0,2.0,80.0,365.0,40.0
105,3,1,1,5,11,40.72800965,-73.99144523,2.0,1.0,1.0,1.0,149.0,44.0,74.5
33,102,1,1,5,11,40.69075031,-73.97192375,3.0,1.0,1.0,2.0,133.0,365.0,44.333333333333336
33,119,1,1,5,11,40.72547998,-73.9461794,2.0,1.0,1.0,1.0,169.0,284.0,84.5
33,129,11,2,5,12,40.6729217,-73.91307535,1.0,2.0,1.0,1.0,50.0,274.0,50.0
33,119,1,1,5,11,40.72649204,-73.95519709,2.0,1.0,2.0,1.0,142.0,351.0,71.0
33,108,1,2,5,11,40.71575479,-73.95573829,2.0,1.0,1.0,1.0,85.0,28.0,42.5
105,28,1,1,5,14,40.80500437,-73.94483503,4.0,1.5,2.0,2.0,125.0,346.0,31.25
105,22,1,1,5,14,40.75444261,-73.96906688,2.0,1.1162872739425898,1.0,1.0,175.0,331.0,87.5
33,108,1,2,5,11,40.71134392,-73.96052811,2.0,1.0,1.0,1.0,85.0,365.0,42.5
105,25,1,1,5,14,40.78942979,-73.97898774,2.0,1.0,1.0,1.0,140.0,23.0,70.0
105,39,1,1,5,14,40.81091778,-73.94073536,3.0,1.0,1.0,2.0,195.0,365.0,65.0
28,69,1,1,5,15,40.81610845,-73.89909446,5.0,1.0,2.0,2.0,120.0,363.0,24.0
105,117,1,2,5,8,40.63708664,-74.02527395,2.0,1.0,1.0,1.0,99.0,277.0,49.5
33,136,1,2,5,11,40.71287167,-73.96433632,2.0,1.0,1.0,1.0,100.0,310.0,50.0
33,103,1,1,5,11,40.69774736,-73.93389232,2.0,1.0,0.0,1.0,85.0,347.0,42.5
33,113,1,2,5,11,40.67433783,-73.9546141,2.0,1.0,1.0,1.0,40.0,219.0,20.0
33,108,1,2,5,11,40.71143959,-73.96160924,2.0,1.0,1.0,1.0,110.0,294.0,55.0
105,27,1,1,5,14,40.8044212,-73.95238609,2.0,1.0,1.0,1.0,117.0,346.0,58.5
33,114,1,1,5,11,40.68613409,-73.98126589,2.0,1.0,1.0,1.0,145.0,363.0,72.5
33,113,1,1,5,11,40.68193714,-73.94067866,6.0,1.0,1.0,6.0,75.0,365.0,12.5
105,17,1,1,5,11,40.7474812,-73.98239466,4.0,1.0,2.0,2.0,445.0,359.0,111.25
105,47,1,1,5,14,40.7694072,-73.95049759,4.0,1.0,1.0,2.0,99.0,284.0,24.75
105,2,1,2,5,11,40.71879473,-73.9895761,2.0,1.0,1.0,1.0,150.0,365.0,75.0
33,131,1,1,5,3,40.58042461,-73.96015422,4.0,1.5,2.0,2.0,149.0,329.0,37.25
105,27,9,2,5,14,40.80093343,-73.9547903,2.0,2.0,1.0,1.0,85.0,365.0,42.5
105,42,1,1,5,18,40.86543936,-73.92619426,2.0,1.0,1.0,2.0,90.0,359.0,45.0
33,112,1,1,5,8,40.6680139,-73.98464529,3.0,1.0,1.0,1.0,110.0,154.0,36.666666666666664
33,114,1,2,5,11,40.67770907,-73.98152219,1.0,1.5,1.0,1.0,70.0,21.0,70.0
88,91,1,1,5,11,40.74829995,-73.94799179,3.0,1.0,1.0,1.0,80.0,22.0,26.666666666666668
33,103,1,1,5,11,40.69901111,-73.93308655,3.0,1.0,1.0,2.0,86.0,42.0,28.666666666666668
33,99,1,1,5,11,40.70215559,-73.98802023,4.0,1.0,2.0,3.0,189.0,39.0,47.25
33,134,1,1,5,11,40.68585325,-73.97016479,4.0,2.0,1.0,2.0,280.0,268.0,70.0
33,112,9,3,5,11,40.67183897,-73.99144157,1.0,1.0,1.0,1.0,39.0,4.0,39.0
120,153,1,2,5,12,40.72595532,-73.8579586,3.0,1.0,1.0,2.0,65.0,336.0,21.666666666666668
105,13,1,1,5,11,40.74846369,-74.00031386,3.0,1.0,2.0,2.0,230.0,365.0,76.66666666666667
33,112,1,2,5,11,40.67858307,-73.98537418,2.0,1.0,1.0,1.0,70.0,364.0,35.0
105,10,14,1,5,11,40.72304199,-73.97923441,2.0,1.0,1.0,1.0,120.0,0.0,60.0
105,2,1,1,5,11,40.71540304,-73.991268,1.0,1.0,0.0,1.0,155.0,29.0,155.0
105,38,1,1,5,14,40.77612005,-73.98257184,5.0,1.0,2.0,2.0,220.0,333.0,44.0
33,130,1,1,3,9,40.61406003,-73.92406065,5.0,1.0,1.0,2.0,84.0,355.0,16.8
105,20,1,1,5,14,40.76704118,-73.98663953,2.0,1.0,0.0,1.0,199.0,220.0,99.5
33,118,1,1,5,11,40.6863685,-73.94191825,3.0,1.0,1.0,1.0,110.0,194.0,36.666666666666664
33,134,1,1,5,11,40.68514929,-73.95712987,5.0,2.0,2.0,2.0,199.0,365.0,39.8
105,12,1,2,5,11,40.73795156,-73.97849936,2.0,1.0,1.0,1.0,125.0,365.0,62.5
105,28,1,1,5,14,40.81453854,-73.94839202,3.0,1.0,1.0,2.0,100.0,364.0,33.333333333333336
33,104,1,2,5,12,40.6768044,-73.89067134,4.0,2.0,1.0,1.0,45.0,308.0,11.25
